id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
5,0,0,1,https://calendar.gslc.edu.hk,calendar.gslc.edu.hk,1,ghs.googlehosted.com,142.251.43.19,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
19,0,0,1,http://calendar.gslc.edu.hk,calendar.gslc.edu.hk,1,ghs.googlehosted.com,142.251.43.19,1,0,80,,"(MaxRetryError(""HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: /calendar/hosted/gslc.edu.hk (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000018EF19A4208>, 'Connection to www.google.com timed out. (connect timeout=13)'))""),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
9,0,0,1,https://drive.gslc.edu.hk,drive.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
20,0,0,1,http://drive.gslc.edu.hk,drive.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,80,,"(MaxRetryError(""HTTPSConnectionPool(host='drive.google.com', port=443): Max retries exceeded with url: /a/gslc.edu.hk (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000018EF19C5288>, 'Connection to drive.google.com timed out. (connect timeout=13)'))""),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
8,0,0,1,https://gmail.gslc.edu.hk,gmail.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
21,0,0,1,http://gmail.gslc.edu.hk,gmail.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,80,,"(MaxRetryError(""HTTPSConnectionPool(host='mail.google.com', port=443): Max retries exceeded with url: /a/gslc.edu.hk (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000018EF19CB408>, 'Connection to mail.google.com timed out. (connect timeout=13)'))""),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
1,1,1,1,http://group.gslc.edu.hk,group.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,80,404,Not Found,Error 404 (Not Found)!!1,ghs,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
2,0,0,1,https://group.gslc.edu.hk,group.gslc.edu.hk,1,ghs.googlehosted.com,142.251.42.243,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
23,1,1,1,http://gslc.edu.hk,gslc.edu.hk,2,gslc.edu.hk,23.236.62.147,1,1,80,200,OK,主頁 | 路德會西門英才中學,,23.236.48.0/20,AS15169,Google,美国艾奥瓦,谷歌,Finder
24,0,0,1,https://gslc.edu.hk,gslc.edu.hk,2,gslc.edu.hk,23.236.62.147,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='www.gslc.edu.hk', port=443): Read timed out. (read timeout=13)""),)",,,23.236.48.0/20,AS15169,Google,美国艾奥瓦,谷歌,Finder
